ሰላማዊ	ሰላ+ማዊ
ኣፃዋቲ	ኣፃዋ+ቲ
ብመሊኡ	ብ+መሊ+ኡ
ክፍሊቲ	ክፍሊ+ቲ
ንመእተዊ	ን+መእተዊ
ዝኽፈል	ዝ+ኽፈል
ስታሪት	ስታሪ+ት
መንግስቲ	መንግስ+ቲ
ቕንኣት	ቕን+ኣት
ህማም	ህማ+ም
ጥምቀት	ጥምቀ+ት
ንፍቀ	ን+ፍቀ
ቅናት	ቅ+ናት
ናውቲ	ናው+ቲ
መልአእክቲ	መልአእክ+ቲ
ፈፍልጠት	ፈፍልጠ+ት
ሰኒዩ	ሰኒ+ዩ
ምስናይ	ምስ+ናይ
ዝተፈልተ	ዝ+ተፈልተ
ንብዙሕ	ን+ብዙሕ
ዝበአስ	ዝ+በአስ
ምሸት	ምሸ+ት
እዋን	እ+ዋን
ኣውፂኡ	ኣውፂ+ኡ
ኮርማም	ኮርማ+ም
ኣንስተይቲ	ኣንስተይ+ቲ
ኣብኢስዎ	ኣብ+ኢስ+ዎ
ትኽክለኛ	ት+ኽክለ+ኛ
ኣብነት	ኣብ+ነት
ብዘይ	ብ+ዘይ
ብዘይካ	ብ+ዘይ+ካ
አሳቂዩ	አሳቂ+ዩ
ምክንያት	ምክን+ያት
ይቕርታ	ይ+ቕርታ
ዝተሟለኣ	ዝ+ተሟለኣ
ሒወት	ሒወ+ት
ምስፍህፋመሕዘርጋት	ምስ+ፍህፋመሕዘር+ጋት
ጥንስረቲ	ጥንስረ+ቲ
መደዲኡ	መደዲ+ኡ
ኣብራህ	ኣብ+ራህ
ብዝበዛ	ብ+ዝበዛ
ንወፃኢ	ን+ወፃኢ
ዝለኣኽ	ዝ+ለኣኽ
ለላኣኪ	ለላኣ+ኪ
ግዳም	ግዳ+ም
ምእማን	ምእ+ማን
ሽፋሽፍቲ	ሽፋሽፍ+ቲ
ነበረያ	ነበረ+ያ
ንፊት	ን+ፊት
እናወደቐ	እ+ናወደቐ
ምእመን	ምእመ+ን
ብፍቕሪ	ብ+ፍቕሪ
ሓሶት	ሓሶ+ት
ስደድራቤት	ስደድራቤ+ት
ጥሜት	ጥሜ+ት
አየርማራገቢያ	አየርማራገቢ+ያ
ደሓንኩን	ደሓንኩ+ን
ርጉደት	ርጉደ+ት
ከፍቲ	ከፍ+ቲ
ድኹም	ድኹ+ም
ተሰሚዕዎ	ተሰሚዕ+ዎ
ስምዒት	ስምዒ+ት
ምሰኪን	ምሰኪ+ን
ወንጀለኛ	ወንጀለ+ኛ
አንስተይቲ	አንስተይ+ቲ
መካበቢያ	መካበቢ+ያ
እተሳግርእየተመጓዝመ	እ+ተሳግርእየተመጓዝመ
ዝሰርሖ	ዝ+ሰርሖ
ኣድናቖት	ኣድናቖ+ት
ዘዝሸትት	ዘዝሸት+ት
ዝጨኑ	ዝ+ጨኑ
ብርክት	ብ+ርክ+ት
ሕፅይቲ	ሕፅይ+ቲ
ዝረሰነ	ዝ+ረሰነ
ንስእሊ	ን+ስእሊ
ኣብመወዳእታ	ኣብ+መወዳእታ
ብስራሕ	ብ+ስራሕ
ቀፂኡ	ቀፂ+ኡ
ቅፅዓት	ቅፅ+ዓት
አፃብእቲ	አፃብእ+ቲ
ትኪወይ	ት+ኪወይ
እትድውልእሳት	እ+ትድውልእ+ሳት
ፍጡን	ፍጡ+ን
ረዳኤት	ረዳኤ+ት
ፅገና	ፅገ+ና
ኣቁሑት	ኣቁሑ+ት
ድምቐት	ድምቐ+ት
ብርህ	ብ+ርህ
መብረራህቲ	መብረራህ+ቲ
ላምባዲና	ላምባዲ+ና
ብልጭልጭ	ብ+ልጭልጭ
ብፍፁም	ብ+ፍፁ+ም
ርሻን	ር+ሻን
ዋሽንት	ዋሽን+ት
ዝምቢ	ዝ+ምቢ
እንጀራ	እ+ንጀራ
እንጌራ	እ+ንጌራ
እግር	እ+ግር
ጥንቢት	ጥንቢ+ት
ቅድሚት	ቅድሚ+ት
ምስናዕ	ምስ+ናዕ
አኣምሲልካ	አኣምሲል+ካ
ይቕረ	ይ+ቕረ
ንቕድሚት	ን+ቕድሚ+ት
መሰረት	መሰረ+ት
ብርዒ	ብ+ርዒ
አረርባዕት	አረርባዕ+ት
መኻርያ	መኻር+ያ
ስብራት	ስብ+ራት
መቓን	መ+ቓን
ነፃነት	ነፃ+ነት
ሓርነት	ሓር+ነት
ብተዳጋጋሚ	ብ+ተዳጋጋሚ
ተበሳጪዩ	ተበሳጪ+ዩ
ዕርክነት	ዕርክ+ነት
ምሕዝነት	ምሕዝ+ነት
ምስምባድ	ምስ+ምባድ
ብኽንቱ	ብ+ኽንቱ
እተሳግርእበተ-ጓምዝክ	እ+ተሳግርእበተ-ጓምዝክ
ዝረርባብ	ዝ+ረርባብ
ንዒቁ	ን+ዒቁ
ቆልዩ	ቆል+ዩ
ፈንዲኡ	ፈንዲ+ኡ
ኣቑሑት	ኣቑሑ+ት
ትርፊ	ት+ርፊ
ሓሞት	ሓሞ+ት
ብብዝሓት	ብ+ብዝ+ሓት
ቑማርተኛ	ቑማርተ+ኛ
ግጥም	ግጥ+ም
ርሰሓት	ርሰ+ሓት
አሕምልትን	አሕምልት+ን
ፍረታትን	ፍረታት+ን
ኣትኽልተኛ	ኣትኽልተ+ኛ
ሽጉርቲ	ሽጉር+ቲ
መሸቲ	መሸ+ቲ
ብርቕርቕ	ብ+ርቕርቕ
ዓቀን	ዓቀ+ን
ትኩር	ት+ኩር
ፍጥነት	ፍጥ+ነት
ሓፋሻዊ	ሓፋ+ሻዊ
ኣብውህትድርና	ኣብ+ውህትድር+ና
ማዕረግከፍተኛ	ማዕረግከፍተ+ኛ
እፁብ	እ+ፁብ
ጎይታታት	ጎይታ+ታት
ኹቡራን	ኹቡ+ራን
ብቕስ	ብ+ቕስ
መኻንንቲ	መኻንን+ቲ
ትምህርተ-ዓለም	ት+ምህርተ-ዓለ+ም
ፍጥረት	ፍጥረ+ት
ዘምፅእተዋህሲየን	ዘምፅእተዋህሲየ+ን
ኣግንዩ	ኣግን+ዩ
ገዝኡ	ገዝ+ኡ
ኣትዩ	ኣት+ዩ
ብሓባር	ብ+ሓባር
ኣፍቃሪት	ኣፍቃሪ+ት
ብርጭቆ	ብ+ርጭቆ
ዘርኢመሬት	ዘርኢመሬ+ት
ብርሃን	ብ+ር+ሃን
ሙቐት	ሙቐ+ት
እግዚዛብሄር	እ+ግዚዛብሄር
ምሟት	ምሟ+ት
ጉሩነረጉሪት	ጉሩነረጉሪ+ት
ውዒልካ	ውዒል+ካ
ስቕለት	ስቕለ+ት
ከመይሓዲርካ	ከመይሓዲር+ካ
ሓላዊት	ሓላዊ+ት
ወጊኡ	ወጊ+ኡ
ብትምህርቲ	ብ+ትምህር+ቲ
እኖሕጎ	እ+ኖሕጎ
እኖሕጎታት	እ+ኖሕጎ+ታት
አቦሕጎታት	አቦሕጎ+ታት
ኾረት	ኾረ+ት
ሲበት	ሲበ+ት
ስስፅና	ስስፅ+ና
ብኢድ	ብ+ኢድ
ሓዘን	ሓዘ+ን
ሓዘንተኛ	ሓዘንተ+ኛ
ርሃፅን	ርሃፅ+ን
ዓብዩ	ዓብ+ዩ
ኣላይት	ኣላይ+ት
ኣካቢት	ኣካቢ+ት
ምግማት	ምግ+ማት
ግርፃን	ግር+ፃን
ብረት	ብ+ረት
ኣካላት	ኣካ+ላት
ዥኽውን	ዥኽው+ን
ንንኡሽቴ	ን+ንኡሽቴ
ምቑናን	ምቑ+ናን
ምቕምቃም	ምቕምቃ+ም
ቆናኒት	ቆናኒ+ት
መሻጢት	መሻጢ+ት
ብስጋን	ብ+ስ+ጋን
ሽጉርተን	ሽጉር+ተን
ሂቡዎ	ሂቡ+ዎ
ድኻም	ድኻ+ም
ኣይትንካኣዮ	ኣይ+ትንካኣዮ
ኣይፈላለዩን	ኣይ+ፈላለዩ+ን
መአረምያ	መአረም+ያ
አሰስጊኡ	አሰስጊ+ኡ
ዓፂዩ	ዓፂ+ዩ
ብድንገት	ብ+ድንገ+ት
ኩነት	ኩነ+ት
ድሱት	ድሱ+ት
ብእግዚኣብሄር	ብ+እግዚኣብሄር
የለም	የለ+ም
ሸጊርዎ	ሸጊር+ዎ
ፀጊምዎ	ፀጊም+ዎ
ካብልቡ	ካብ+ልቡ
በብልፍዓት	በብልፍ+ዓት
ልማደኛ	ልማደ+ኛ
በገና	በገ+ና
ኣፍሪዩ	ኣፍሪ+ዩ
እቶት	እ+ቶት
ዐሊኡ	ዐሊ+ኡ
ትዕቢት	ት+ዕቢ+ት
አለዎ	አለ+ዎ
አበላሺዩ	አበላሺ+ዩ
መብራህቲ	መብራህ+ቲ
መኪናየፊት	መኪናየፊ+ት
መምርሒዋና	መምርሒዋ+ና
ዕንፀይቲ	ዕንፀይ+ቲ
ንግምባር	ን+ግምባር
ደፊኡ	ደፊ+ኡ
ተሳለዩ	ተሳለ+ዩ
ጥዕና	ጥዕ+ና
ከክንክን	ከክን+ክን
ጥእና	ጥእ+ና
ርዕዩ	ርዕ+ዩ
እተጓዕዝ	እ+ተጓዕዝ
ትርታ	ት+ርታ
ዝፈልፈለ	ዝ+ፈልፈለ
ግፍዐኛ	ግፍዐ+ኛ
ዝሓዘነ	ዝ+ሓዘነ
ንልዲ	ን+ልዲ
አረመኔያዊ	አረመኔ+ያዊ
መንግስት	መንግስ+ት
ሰማይት	ሰማይ+ት
ብሩህ	ብ+ሩህ
ብሓይሊ	ብ+ሓይሊ
ኽባድነት	ኽባድ+ነት
መሳሪያ	መሳሪ+ያ
ሰላም	ሰላ+ም
ብሓፂን	ብ+ሓፂ+ን
እተስርሀ	እ+ተስርሀ
ተቐምቅማት	ተቐምቅ+ማት
ጓሳከብቲ	ጓሳከብ+ቲ
ገዲም	ገዲ+ም
ካብዙይ	ካብ+ዙይ
ንድሓርከእንግዲህ	ን+ድሓርከእንግዲህ
ባሕታዊ	ባሕ+ታዊ
ጀግና	ጀግ+ና
በይና	በይ+ና
ብሕታ	ብ+ሕታ
ቆርበት	ቆርበ+ት
ብረርኺ	ብ+ረርኺ
ሰልጣናት	ሰልጣ+ናት
ንዊሕ	ን+ዊሕ
ተፈትዩ	ተፈት+ዩ
ዝተወለደ	ዝ+ተወለደ
ዝተማሃረ	ዝ+ተማሃረ
ከምዝፈተው	ከም+ዝፈተው
ከምዝደሌ	ከም+ዝደሌ
ምጭቋን	ምጭ+ቋን
ዝሓስብ	ዝ+ሓስብ
ቀጢን	ቀጢ+ን
ሊቀካህናት	ሊቀካህ+ናት
ከፍተኛ	ከፍተ+ኛ
ትምህርቲሁለተኛ	ት+ምህርቲሁለተ+ኛ
ባዓልዋና	ባዓልዋ+ና
ዘይብሎም	ዘይብሎ+ም
ባሕርታትባለቤት	ባሕርታትባለቤ+ት
ኢሉዎ	ኢሉ+ዎ
ግዚኡ	ግዚ+ኡ
ጨውዩ	ጨው+ዩ
ብዓርሱ	ብ+ዓርሱ
ብዕርሱ	ብ+ዕርሱ
ምሕኹልቲ	ምሕኹል+ቲ
ብዕድል	ብ+ዕድል
ተነኺኡ	ተነኺ+ኡ
ንመዛና	ን+መዛ+ና
ግዒኢልካ	ግዒኢል+ካ
ዝግበር	ዝ+ግበር
ፀወታት	ፀወ+ታት
መኩዓቲ	መኩዓ+ቲ
አሰስጢምካ	አሰስጢም+ካ
ንብረት	ን+ብረ+ት
ትሕጃ	ት+ሕጃ
ተሓቢኡ	ተሓቢ+ኡ
ቁርባን	ቁር+ባን
ክህነት	ክህ+ነት
ኣኽብሮት	ኣኽብሮ+ት
ንኽባር	ን+ኽባር
ምስጋና	ምስ+ጋና
ናብገዛ	ናብ+ገዛ
ውሽቲ	ውሽ+ቲ
ምክኣን	ምክ+ኣን
ናብገዛኡ	ናብ+ገዛ+ኡ
ሓደዓይነት	ሓደዓይ+ነት
ብሓቂ	ብ+ሓቂ
ሓቀኝነት	ሓቀኝ+ነት
ሕፅኖት	ሕፅኖ+ት
ገዝኦም	ገዝ+ኦም
ዝተኸበረ	ዝ+ተኸበረ
ብኽዘራ	ብ+ኽዘራ
ፈረሰና	ፈረሰ+ና
አጋይሽማደሪያ	አጋይሽማደሪ+ያ
ተቐባሊት	ተቐባሊ+ት
ርሱን	ርሱ+ን
መመገብን	መመገብ+ን
መደቀስን	መደቀስ+ን
ስዓት	ስ+ዓት
እስር	እ+ስር
ከካዳሚት	ከካዳሚ+ት
እትውዕል	እ+ትውዕል
ብኽመይ	ብ+ኽመይ
ሕምብርቲ	ሕምብር+ቲ
ንእሽተይ	ን+እሽተይ
ዘለዎእርጥበት	ዘለዎእርጥበ+ት
ምኢት	ምኢ+ት
ዝጠመየ	ዝ+ጠመየ
ምህዳን	ምህ+ዳን
ይሃድን	ይ+ሃድ+ን
ይደሊ	ይ+ደሊ
ዝብኢ	ዝ+ብኢ
ዝተመሳሰለ	ዝ+ተመሳሰለ
ጌርካም	ጌርካ+ም
ላህማም	ላህማ+ም
ዘይፈቲ	ዘይፈ+ቲ
ጣኦት	ጣኦ+ት
እንተ	እ+ንተ
ዝኽውን	ዝ+ኽው+ን
ብፅልግና	ብ+ፅልግ+ና
ዘይህጋዊ	ዘይህ+ጋዊ
መሀይም	መሀይ+ም
ዝተስሓሓተ	ዝ+ተስሓሓተ
ፍሉት	ፍሉ+ት
ብቕዓት	ብ+ቕ+ዓት
ቅፅበት	ቅፅበ+ት
ካብጥንቲ	ካብ+ጥን+ቲ
ስደተት	ስደተ+ት
ፍልሰት	ፍልሰ+ት
ትሕትና	ት+ሕት+ና
ዝጎደደሎ	ዝ+ጎደደሎ
ንባዕሉ	ን+ባዕሉ
መስዋእት	መስዋእ+ት
ግብረገብነት	ግብረገብ+ነት
ብተፈጥሮ	ብ+ተፈጥሮ
ዐውዩ	ዐው+ዩ
ጠምቢዩ	ጠምቢ+ዩ
ስሜት	ስሜ+ት
ተትዕግስቲ	ተትዕግስ+ቲ
ምስኣን	ምስ+ኣን
ዐዕንቅፋት	ዐዕንቅ+ፋት
ብቐረባ	ብ+ቐረባ
ዝኽእል	ዝ+ኽእል
ዝተማለእ	ዝ+ተማለእ
ብዕልግና	ብ+ዕልግ+ና
ዘይጭነት	ዘይጭ+ነት
አምፂኡ	አምፂ+ኡ
ዝኣቱ	ዝ+ኣቱ
ኽውን	ኽው+ን
አድኪዩ	አድኪ+ዩ
እንከይ	እ+ንከይ
ቀሪዩ	ቀሪ+ዩ
ርግማን	ርግ+ማን
ብቐሊሉ	ብ+ቐሊሉ
ዝኣምን	ዝ+ኣም+ን
ዝድነቕ	ዝ+ድነቕ
እስራት	እ+ስ+ራት
ዘይኽውን	ዘይኽው+ን
እንከይተዳለወ	እ+ንከይተዳለወ
ደድልየት	ደድልየ+ት
ስምኢት	ስምኢ+ት
ትርግታ	ት+ርግታ
ስንፍና	ስንፍ+ና
አያኣክልን	አያኣክል+ን
ብዘዜ	ብ+ዘዜ
ምፍላት	ምፍ+ላት
ዝተገብር	ዝ+ተገብር
እንከይፈለየ	እ+ንከይፈለየ
ኣይዛረብን	ኣይ+ዛረብ+ን
ከምምኻኑ	ከም+ምኻኑ
መተን	መተ+ን
ደድጋም	ደድጋ+ም
ቀርዩ	ቀር+ዩ
ዕጣን	ዕ+ጣን
ኣባሳጪዩ	ኣባሳጪ+ዩ
ዘይምኳን	ዘይም+ኳን
እንከይኣቋረፀ	እ+ንከይኣቋረፀ
ብቐስ	ብ+ቐስ
ንሕንጢጥ	ን+ሕንጢጥ
ቀዲድካ	ቀዲድ+ካ
ምፅጋን	ምፅ+ጋን
ደፋፊኡ	ደፋፊ+ኡ
ዝንባሌ	ዝ+ንባሌ
ዝተትሓሓዘ	ዝ+ተትሓሓዘ
እንተይ	እ+ንተይ
አታዊ	አ+ታዊ
ሃብቲ	ሃብ+ቲ
ከእለት	ከእለ+ት
ዘይእመን	ዘይእመ+ን
አይስማዕማዕን	አይስማዕማዕ+ን
ትኽክለል	ት+ኽክለል
ዝበለቦ	ዝ+በለቦ
ዘይድሕን	ዘይድሕ+ን
ብርግፅ	ብ+ርግፅ
ናፅነት	ናፅ+ነት
ድኽነት	ድኽ+ነት
ኤበለን	ኤበለ+ን
ንብሕቱ	ን+ብሕቱ
ኣብገዛ	ኣብ+ገዛ
አታኣታትዩ	አታኣታት+ዩ
ተልዒልዎ	ተልዒል+ዎ
ፃዕራም	ፃዕራ+ም
እንዱስትሪ	እ+ንዱስትሪ
ኣይፍለጥን	ኣይ+ፍለጥ+ን
ዘይሳሓሓት	ዘይሳሓ+ሓት
ነኺኡ	ነኺ+ኡ
ዝሰደደ	ዝ+ሰደደ
ትእዛዝ	ት+እዛዝ
ሓማታት	ሓማ+ታት
እስረኛ	እ+ስረ+ኛ
እሱር	እ+ሱር
ንኡሸተይ	ን+ኡሸተይ
ውሽጣዊ	ውሽ+ጣዊ
ብልተጠየቀ	ብ+ልተጠየቀ
ጥዒና	ጥዒ+ና
ውኒኡ	ውኒ+ኡ
ጠፊእዎ	ጠፊእ+ዎ
ከምዋያ	ከም+ዋያ
ኤቆዐሮን	ኤቆዐሮ+ን
ኣፍዚዝዎ	ኣፍዚዝ+ዎ
ዘይፈላለዩ	ዘይፈላለ+ዩ
የብሉን	የብሉ+ን
ጎብንዩ	ጎብን+ዩ
መሰሳርሒታት	መሰሳርሒ+ታት
ንደሴት	ን+ደሴ+ት
ውሕሳና	ውሕሳ+ና
ህውከት	ህውከ+ት
እንተይተሰበረ	እንተ+ይተሰበረ
ናይም	ናይ+ም
ብልሂ	ብ+ልሂ
ዝስማፅ	ዝ+ስማፅ
አእትዩ	አእት+ዩ
በፂሕዎ	በፂሕ+ዎ
ተገዳስነት	ተገዳስ+ነት
ጊዜጣዊ	ጊዜ+ጣዊ
ዕረፍቲ	ዕረፍ+ቲ
እንከይተናዘዘ	እ+ንከይተናዘዘ
ዘይልወት	ዘይልወ+ት
ዘስልኪ	ዘስል+ኪ
ሓዳን	ሓ+ዳን
ሓፂንካውያ	ሓፂንካው+ያ
ሓላፊነት	ሓላፊ+ነት
ምሰልምና	ምሰልም+ና
ደሴት	ደሴ+ት
ከካብካልኦት	ከካብካልኦ+ት
ፊሊዩ	ፊሊ+ዩ
ካብካኦት	ካብ+ካኦ+ት
ፈሊዩ	ፈሊ+ዩ
ማእሰርቲ	ማእሰር+ቲ
ማህበርተኛ	ማህበርተ+ኛ
መፅሄት	መፅሄ+ት
ጋዜጠኛ	ጋዜጠ+ኛ
ፍረታት	ፍረ+ታት
ኣቲዩ	ኣቲ+ዩ
ደርብዩ	ደርብ+ዩ
ሰንድዩ	ሰንድ+ዩ
ኩሊት	ኩሊ+ት
ዐዓይነት	ዐዓይ+ነት
ኣብሪሑ	ኣብ+ሪሑ
ንጉስ	ን+ጉስ
ዓሌት	ዓሌ+ት
ምስዓም	ምስ+ዓም
ብካራ	ብ+ካራ
እንፀይቲ	እ+ንፀይ+ቲ
ፍልጠት	ፍልጠ+ት
ምስያም	ምስ+ያም
ተንገላቲኡ	ተንገላቲ+ኡ
መዓልታዊ	መዓል+ታዊ
ብብዙሕ	ብ+ብዙሕ
ማንካ	ማን+ካ
ክብርቲ	ክብር+ቲ
ብኽያት	ብ+ኽ+ያት
ትዲኡ	ት+ዲኡ
ጭርኡ	ጭር+ኡ
ፈታዊት	ፈታዊ+ት
ሰሙን	ሰሙ+ን
መወዋቲ	መወዋ+ቲ
ዝተደጎለ	ዝ+ተደጎለ
ዝተሰርሐ	ዝ+ተሰርሐ
እዋናቂ	እ+ዋናቂ
ትኩስ	ት+ኩስ
ሳሙና	ሳሙ+ና
ምስሓቕ	ምስ+ሓቕ
ንኹን	ን+ኹን
ሓልዩ	ሓል+ዩ
ብርቱ	ብ+ርቱ
ተሰራጪዩ	ተሰራጪ+ዩ
ወፂዩ	ወፂ+ዩ
ንላዕሊ	ን+ላዕሊ
ብቃሉ	ብ+ቃሉ
ዝተምሃሪ	ዝ+ተምሃሪ
ተኻሪዩ	ተኻሪ+ዩ
ምራን	ም+ራን
መባኹዕቲ	መባኹዕ+ቲ
ትምህርት	ት+ምህር+ት
ፀጋም	ፀጋ+ም
ለሚን	ለሚ+ን
ብቑመቱ	ብ+ቑመቱ
መስትያት	መስት+ያት
ብርሽን	ብ+ርሽ+ን
ብርሱን	ብ+ርሱ+ን
ድውየት	ድውየ+ት
ዝነኣስ	ዝ+ነኣስ
ኣእትዩ	ኣእት+ዩ
ዝተስተኻኽለ	ዝ+ተስተኻኽለ
ሓሳዊ	ሓ+ሳዊ
ሰስም	ሰስ+ም
ሓሰት	ሓሰ+ት
ሓሲዩ	ሓሲ+ዩ
ምኢቲ	ምኢ+ቲ
ሂወት	ሂወ+ት
ሕይወት	ሕይወ+ት
ተገኒዩ	ተገኒ+ዩ
እቲነገር	እ+ቲነገር
ተረዲእዎ	ተረዲእ+ዎ
ኣብራህሪሁ	ኣብ+ራህሪሁ
ነናይከብቲ	ነናይከብ+ቲ
ዝማሳሰል	ዝ+ማሳሰል
ከምዙይ	ከም+ዙይ
አቐን	አቐ+ን
ውሱን	ውሱ+ን
ፆምሊዩ	ፆምሊ+ዩ
ብምሉዕ	ብ+ምሉዕ
አይተስማመዐን	አይተስማመዐ+ን
ብቀጥታ	ብ+ቀጥታ
ዝወረደ	ዝ+ወረደ
ንውሓት	ን+ው+ሓት
እንጣጢእ	እ+ንጣጢእ
ምፅሓፍን	ምፅሓፍ+ን
ምንባብን	ምንባብ+ን
ብቓል	ብ+ቓል
ተሟጋቲ	ተሟጋ+ቲ
ምቕማት	ምቕ+ማት
አላሕም	አላሕ+ም
ክፍሊመመገብን	ክፍሊመመገብ+ን
መውግፅን	መውግፅ+ን
ፅዕነት	ፅዕ+ነት
ሕብስቲ	ሕብስ+ቲ
ዝፈትሕ	ዝ+ፈትሕ
ከባብያዊ	ከባብ+ያዊ
ገጎታቲ	ገጎታ+ቲ
ብርኽ	ብ+ርኽ
ንበይኑ	ን+በይኑ
ንነዊህ	ን+ነዊህ
ንነዊሕግዘ	ን+ነዊሕግዘ
ናፍቖት	ናፍቖ+ት
ደሊዩ	ደሊ+ዩ
ብዓይኑ	ብ+ዓይኑ
ዝመፅእ	ዝ+መፅእ
ንዒወቑ	ን+ዒወቑ
ተርእዩ	ተርእ+ዩ
ምስትኽኻል	ምስ+ትኽኻል
ጎይታና	ጎይታ+ና
ንዐጉሪ	ን+ዐጉሪ
ንገፅ	ን+ገፅ
ብርቱዕ	ብ+ርቱዕ
ቁማላት	ቁማ+ላት
ፍታዊ	ፍ+ታዊ
ሓዊስዎ	ሓዊስ+ዎ
ዕድለኛ	ዕድለ+ኛ
እንዐይቲ	እ+ንዐይ+ቲ
ዝህብ	ዝ+ህብ
ሕብጠት	ሕብጠ+ት
በብልሓት	በብል+ሓት
ጡዕም	ጡዕ+ም
ለምለም	ለምለ+ም
ተመንዩ	ተመን+ዩ
ተሃንጢዩ	ተሃንጢ+ዩ
ቅሳነት	ቅሳ+ነት
ዓቐን	ዓቐ+ን
ፀሊም	ፀሊ+ም
ዕንዐይቲ	ዕንዐይ+ቲ
ጌይሩዎ	ጌይሩ+ዎ
ፅፋን	ፅ+ፋን
አጓይዩ	አጓይ+ዩ
ስለዘይተሰርሐተሰስተካክሎ	ስለ+ዘይተሰርሐተሰስተካክሎ
ኣዚዩ	ኣዚ+ዩ
ሓደገና	ሓደገ+ና
እነይ	እ+ነይ
ስብእነት	ስብእ+ነት
አእምሮኡ	አእምሮ+ኡ
ዝሰሓተ	ዝ+ሰሓተ
ዝተፈለያየ	ዝ+ተፈለያየ
ብሰልፊ	ብ+ሰልፊ
መጋቢት	መጋቢ+ት
ብምልክት	ብ+ምልክ+ት
ዝፈለይ	ዝ+ፈለይ
ምልኽት	ምልኽ+ት
ኣግን	ኣግ+ን
ድንኳን	ድን+ኳን
ንሓዳር	ን+ሓዳር
ዝበፅሐ	ዝ+በፅሐ
ዝተመርዐወ	ዝ+ተመርዐወ
ዝእተወ	ዝ+እተወ
ቅልፅም	ቅልፅ+ም
አሳቕዩ	አሳቕ+ዩ
ሓኺዩ	ሓኺ+ዩ
ሰሌን	ሰሌ+ን
ብሃብቲ	ብ+ሃብ+ቲ
ምኳን	ም+ኳን
ግንቦት	ግንቦ+ት
ንኡሽቴ	ን+ኡሽቴ
ዝተወሰነ	ዝ+ተወሰነ
ብዙሃን	ብ+ዙ+ሃን
መድሓኒት	መድሓኒ+ት
ሕክምና	ሕክም+ና
መድሓነት	መድሓ+ነት
ዘውፂኡ	ዘውፂ+ኡ
ብልሓት	ብ+ል+ሓት
ሓዘንን	ሓዘን+ን
ትካዘ	ት+ካዘ
ትዝታ	ት+ዝታ
ንኢሸቴ	ን+ኢሸቴ
ምሕረት	ምሕረ+ት
ዝተበላሸወ	ዝ+ተበላሸወ
ፍልፀት	ፍልፀ+ት
ህዝባዊ	ህዝ+ባዊ
ብምስማዕ	ብ+ምስማዕ
ማእድን	ማእድ+ን
ኳዓቲ	ኳዓ+ቲ
ኣብጭቃ	ኣብ+ጭቃ
መስቲያት	መስቲ+ያት
ኣርእዩ	ኣርእ+ዩ
ብዘይምፍላጥ	ብ+ዘይምፍላጥ
መሳሓሓቲ	መሳሓሓ+ቲ
ዛይተረድኦት	ዛይተረድኦ+ት
አይተረድኦን	አይተረድኦ+ን
ተሳሓሒአቱለልገባውም	ተሳሓሒአቱለልገባው+ም
ብግቡእ	ብ+ግቡእ
ኤተረድኦን	ኤተረድኦ+ን
ንእሸተይ	ን+እሸተይ
ገዳም	ገዳ+ም
ንበይንኻ	ን+በይንኻ
ዝስቅቕ	ዝ+ስቅቕ
ዝወፅእ	ዝ+ወፅእ
ብተወሳኺ	ብ+ተወሳኺ
እውን	እ+ውን
ካብልቢ	ካብ+ልቢ
ብዘዙሓት	ብ+ዘዙ+ሓት
መብዛሕቶም	መብዛሕ+ቶም
እነኖ	እ+ነኖ
ሓማት	ሓ+ማት
እምባ	እ+ምባ
እንጭዋ	እ+ንጭዋ
ደኣትዩ	ደኣት+ዩ
ንፋጥ	ን+ፋጥ
ዚዓለም	ዚዓለ+ም
ፀልማት	ፀል+ማት
እንጉዳይ	እ+ንጉዳይ
ውጥም	ውጥ+ም
ዝሻሕገተ	ዝ+ሻሕገተ
አሳቅዩ	አሳቅ+ዩ
ምስማር	ምስ+ማር
ብምስማር	ብ+ምስማር
እባኑ	እ+ባኑ
ዝይባሃል	ዝ+ይባሃል
ንሳቶም	ን+ሳቶ+ም
እዚኣቶም	እ+ዚኣ+ቶም
ዝዐበበ	ዝ+ዐበበ
ናይውልደት	ናይውልደ+ት
ብሔራዊ	ብ+ሔ+ራዊ
ብሄራዊ	ብ+ሄ+ራዊ
ናፅነናት	ናፅነ+ናት
ዜግነት	ዜግ+ነት
ዝተወልደ	ዝ+ተወልደ
ውልደት	ውልደ+ት
እውነት	እ+ውነ+ት
ከምተፍጥሮ	ከም+ተፍጥሮ
ኣብረቀረባ	ኣብ+ረቀረባ
ዝርክብ	ዝ+ርክብ
ምንም	ምን+ም
ኣይቀዮን	ኣይ+ቀዮ+ን
ንምርኣይ	ን+ምርኣይ
ብጥንቃቐ	ብ+ጥንቃቐ
ግድን	ግድ+ን
ኣድልዩ	ኣድል+ዩ
ዝተሸገረ	ዝ+ተሸገረ
ዝተፀገመ	ዝ+ተፀገመ
ጎረቤት	ጎረቤ+ት
ምጎርባት	ምጎር+ባት
ክልቲኡ	ክልቲ+ኡ
ዝተደናገፀ	ዝ+ተደናገፀ
ብምጭናቕ	ብ+ምጭናቕ
ተመቻችዩ	ተመቻች+ዩ
ዝተፃረየ	ዝ+ተፃረየ
ዝተጣላለፈ	ዝ+ተጣላለፈ
ዝተማራዐው	ዝ+ተማራዐው
ኪዳን	ኪ+ዳን
