ናዊ	ና+ዊ
ካት	ካ+ት
ብምም	ብ+ም+ም
ምነት	ም+ነት
ብምር	ብ+ምር
ብምስ	ብ+ምስ
ብምቕ	ብ+ምቕ
ብሓጎ	ብ+ሓጎ
ይረሓ	ይ+ረሓ
ብመን	ብ+መ+ን
ብምህ	ብ+ምህ
ብሕጂ	ብ+ሕጂ
ብምሉ	ብ+ምሉ
ብሓፈ	ብ+ሓፈ
ብምእ	ብ+ምእ
ይረኽ	ይ+ረኽ
ይሮም	ይ+ሮ+ም
ብምኽ	ብ+ምኽ
ብምዃ	ብ+ምዃ
ብምው	ብ+ምው
ብምዕ	ብ+ምዕ
ይሩዎ	ይ+ሩዎ
ብምባ	ብ+ምባ
ብመገ	ብ+መገ
ይረን	ይ+ረ+ን
ይረኣ	ይ+ረ+ኣ
ይረኸ	ይ+ረኸ
ብምን	ብ+ም+ን
ብሞት	ብ+ሞ+ት
ይረክ	ይ+ረክ
ይርከ	ይ+ርከ
ብምጽ	ብ+ምጽ
ኣዝዩ	ኣ+ዝዩ
ብምድ	ብ+ምድ
ኣዝዮ	ኣ+ዝዮ
ነት	ነ+ት
ብምግ	ብ+ምግ
ይርና	ይ+ር+ና
ነና	ነ+ና
ነን	ነ+ን
መጸት	መጸ+ት
መጻም	መጻ+ም
ኒት	ኒ+ት
ኑን	ኑ+ን
ንም	ን+ም
ብረተ	ብ+ረተ
ብረት	ብ+ረ+ት
ብረታ	ብ+ረታ
ነዊ	ነ+ዊ
ንሲ	ን+ሲ
ናት	ና+ት
ብረሉ	ብ+ረሉ
ኖም	ኖ+ም
ብረሎ	ብ+ረሎ
ብረላ	ብ+ረላ
ባባት	ባባ+ት
ናን	ና+ን
ኣየር	ኣ+የር
ናኣ	ና+ኣ
ይስመ	ይ+ስመ
ንት	ን+ት
ኣይስ	ኣ+ይስ
ኣይር	ኣ+ይር
ብሮም	ብ+ሮ+ም
ብሪካ	ብ+ሪ+ካ
ያትን	ያት+ን
ይስዕ	ይ+ስዕ
ንኣ	ን+ኣ
ንኡ	ን+ኡ
ኣይበ	ኣ+ይበ
ያታት	ያ+ታት
ጳን	ጳ+ን
ኩሮን	ኩሮ+ን
ብርሃ	ብ+ርሃ
ኣይመ	ኣ+ይመ
ብራቕ	ብ+ራቕ
ብራቓ	ብ+ራቓ
ኣየካ	ኣ+የ+ካ
ኣይረ	ኣ+ይረ
መጺኡ	መጺ+ኡ
ኣይም	ኣ+ይ+ም
ብርክ	ብ+ርክ
ንዶ	ን+ዶ
ኣይክ	ኣ+ይክ
ኣይኮ	ኣ+ይኮ
ኣይኰ	ኣ+ይኰ
ብርኽ	ብ+ርኽ
ኣዳል	ኣ+ዳል
ብሪጣ	ብ+ሪጣ
ብርዎ	ብ+ርዎ
ምእን	ምእ+ን
ኣይቲ	ኣ+ይቲ
ኣይት	ኣ+ይ+ት
መጽና	መጽ+ና
ኣይተ	ኣ+ይተ
ብርቱ	ብ+ርቱ
ብራኸ	ብ+ራኸ
መጽኣ	መጽ+ኣ
ብራው	ብ+ራው
ኣይን	ኣ+ይ+ን
ኣይነ	ኣ+ይነ
ደት	ደ+ት
ብራዚ	ብ+ራዚ
ኣይከ	ኣ+ይከ
ብሶም	ብ+ሶ+ም
ኣይፈ	ኣ+ይፈ
ዳም	ዳ+ም
ብሰይ	ብ+ሰይ
ብሰን	ብ+ሰ+ን
ኣይደ	ኣ+ይደ
ኣም	ኣ+ም
ይቀሪ	ይ+ቀሪ
ብርጌ	ብ+ርጌ
ብስም	ብ+ስ+ም
ኣሲ	ኣ+ሲ
ብስራ	ብ+ስራ
እም	እ+ም
ባትን	ባት+ን
ኢን	ኢ+ን
ባታት	ባ+ታት
ኣና	ኣ+ና
ካን	ካ+ን
ብስና	ብ+ስ+ና
ኣካ	ኣ+ካ
እት	እ+ት
ከሲ	ከ+ሲ
ማያዊ	ማያ+ዊ
ማይን	ማይ+ን
ከና	ከ+ና
ከን	ከ+ን
ከካ	ከ+ካ
ክም	ክ+ም
ክሲ	ክ+ሲ
ኮም	ኮ+ም
ክት	ክ+ት
ካዊ	ካ+ዊ
ኮት	ኮ+ት
ክን	ክ+ን
ክኣ	ክ+ኣ
ኣገል	ኣ+ገል
ኮን	ኮ+ን
ኰን	ኰ+ን
ካላት	ካላ+ት
ምኽን	ምኽ+ን
ኲን	ኲ+ን
ኲና	ኲ+ና
የደት	የደ+ት
ምኽኣ	ምኽ+ኣ
ዳሲ	ዳ+ሲ
ካላዊ	ካላ+ዊ
ኸም	ኸ+ም
ይቕረ	ይ+ቕረ
ካልኣ	ካል+ኣ
ካልኦ	ካል+ኦ
ኣገባ	ኣ+ገባ
ያንን	ያን+ን
ኣገደ	ኣ+ገደ
ከተን	ከተ+ን
እውን	እ+ውን
ኹም	ኹ+ም
ኣገዳ	ኣ+ገዳ
ጸም	ጸ+ም
ብቐሊ	ብ+ቐሊ
እዋን	እዋ+ን
ኸን	ኸ+ን
ኣግራ	ኣ+ግራ
ኸኣ	ኸ+ኣ
ኹን	ኹ+ን
ይበል	ይ+በል
ኣጋጣ	ኣ+ጋጣ
ይበሃ	ይ+በሃ
ኾም	ኾ+ም
ኻን	ኻ+ን
ምዃን	ምዃ+ን
ምዃና	ምዃ+ና
ደን	ደ+ን
ኽት	ኽ+ት
ኻዊ	ኻ+ዊ
ኽን	ኽ+ን
ቤታት	ቤ+ታት
ኽኣ	ኽ+ኣ
ኾን	ኾ+ን
ይብሉ	ይ+ብሉ
ይብል	ይ+ብል
ይብሎ	ይ+ብሎ
በይት	በይ+ት
ይዶ	ይ+ዶ
ብቕዓ	ብ+ቕዓ
እዚኣ	እዚ+ኣ
እዞም	እዞ+ም
ዃን	ዃ+ን
ዃና	ዃ+ና
ዄን	ዄ+ን
ወም	ወ+ም
ቤታዊ	ቤታ+ዊ
ወሲ	ወ+ሲ
እዘን	እዘ+ን
ዅን	ዅ+ን
ደኣ	ደ+ኣ
ምዒት	ምዒ+ት
ምዓት	ምዓ+ት
ወት	ወ+ት
ኩባን	ኩባ+ን
ወና	ወ+ና
ወን	ወ+ን
ወኪ	ወ+ኪ
ዉና	ዉ+ና
ዊት	ዊ+ት
ዉን	ዉ+ን
ደላት	ደላ+ት
ደሎም	ደሎ+ም
ውሲ	ው+ሲ
ዋት	ዋ+ት
ዊን	ዊ+ን
ዎም	ዎ+ም
ይተማ	ይ+ተማ
ይተሓ	ይ+ተሓ
ዋን	ዋ+ን
ዋና	ዋ+ና
ይተረ	ይ+ተረ
ውት	ው+ት
ደልን	ደል+ን
ኣጠቓ	ኣ+ጠቓ
ውና	ው+ና
ውን	ው+ን
ውካ	ው+ካ
ዎን	ዎ+ን
ብብቲ	ብ+ብቲ
ደሓን	ደሓ+ን
ዐት	ዐ+ት
ዓም	ዓ+ም
ምዚኦ	ምዚ+ኦ
ብብን	ብ+ብ+ን
ይተቐ	ይ+ተቐ
ዐን	ዐ+ን
ዒት	ዒ+ት
ዑን	ዑ+ን
ዕም	ዕ+ም
ብቤት	ብ+ቤ+ት
ዓት	ዓ+ት
ዒን	ዒ+ን
ዖም	ዖ+ም
እዮም	እዮ+ም
ዓን	ዓ+ን
ዓና	ዓ+ና
ይትን	ይ+ት+ን
ዕት	ዕ+ት
ዘም	ዘ+ም
ይትረ	ይ+ትረ
ዓዊ	ዓ+ዊ
እየን	እየ+ን
ዕና	ዕ+ና
ይቶም	ይ+ቶ+ም
ዕን	ዕ+ን
ዕኡ	ዕ+ኡ
ዕካ	ዕ+ካ
ብብዝ	ብ+ብዝ
ይትድ	ይ+ትድ
ዛም	ዛ+ም
ከናት	ከና+ት
ዘና	ዘ+ና
ዘን	ዘ+ን
ይተፈ	ይ+ተፈ
በገሲ	በገ+ሲ
ዘካ	ዘ+ካ
ጹም	ጹ+ም
ዱና	ዱ+ና
ይትኽ	ይ+ትኽ
ዝም	ዝ+ም
ዚኡ	ዚ+ኡ
ብተን	ብ+ተ+ን
ዚኦ	ዚ+ኦ
ድም	ድ+ም
ዛና	ዛ+ና
ብተወ	ብ+ተወ
ዝኣ	ዝ+ኣ
ብታም	ብ+ታ+ም
ይትፈ	ይ+ትፈ
ዝካ	ዝ+ካ
ብቶም	ብ+ቶ+ም
ደራሲ	ደራ+ሲ
የም	የ+ም
ኣጸቢ	ኣ+ጸቢ
ክህሉ	ክ+ህሉ
ክህል	ክ+ህል
ደረት	ደረ+ት
ክለባ	ክ+ለባ
ክለብ	ክ+ለብ
ደራዊ	ደራ+ዊ
ዩና	ዩ+ና
ደራት	ደራ+ት
ክሃድ	ክ+ሃድ
ይነበ	ይ+ነበ
ክልተ	ክ+ልተ
ክልቲ	ክ+ልቲ
ዮት	ዮ+ት
ከእት	ከእ+ት
ይኣ	ይ+ኣ
ምድና	ምድ+ና
ዲም	ዲ+ም
ደና	ደ+ና
ክሓስ	ክ+ሓስ
ይኖም	ይ+ኖ+ም
ይነብ	ይ+ነብ
ይነት	ይ+ነ+ት
ዳት	ዳ+ት
ዲን	ዲ+ን
ዶም	ዶ+ም
ዲኡ	ዲ+ኡ
ክልኻ	ክ+ልኻ
ዲኦ	ዲ+ኦ
ይነን	ይ+ነ+ን
ዳን	ዳ+ን
ዳና	ዳ+ና
ኣፍሊ	ኣ+ፍሊ
ዳኛ	ዳ+ኛ
ኣፍል	ኣ+ፍል
ክሕብ	ክ+ሕብ
ድት	ድ+ት
ኣፍሪ	ኣ+ፍሪ
ዳዊ	ዳ+ዊ
ድና	ድ+ና
ድን	ድ+ን
ይነይ	ይ+ነይ
ድኣ	ድ+ኣ
ድኡ	ድ+ኡ
ድኦ	ድ+ኦ
ድካ	ድ+ካ
ይንግ	ይ+ንግ
ክመስ	ክ+መስ
ምጋም	ምጋ+ም
ደቀን	ደቀ+ን
ቦታት	ቦ+ታት
ጀም	ጀ+ም
ቦታኡ	ቦታ+ኡ
ብነት	ብ+ነ+ት
ክምስ	ክ+ምስ
ጀን	ጀ+ን
ጅም	ጅ+ም
ክምና	ክ+ም+ና
ይኣም	ይ+ኣ+ም
ጂን	ጂ+ን
ክመጽ	ክ+መጽ
ጂኦ	ጂ+ኦ
ገም	ገ+ም
ገሲ	ገ+ሲ
ጉም	ጉ+ም
ገት	ገ+ት
ጋም	ጋ+ም
ገና	ገ+ና
ገን	ገ+ን
ካብኡ	ካብ+ኡ
ገኛ	ገ+ኛ
ጊት	ጊ+ት
ክረአ	ክ+ረአ
ግም	ግ+ም
ኮሎም	ኮሎ+ም
ግሲ	ግ+ሲ
ጊን	ጊ+ን
ጎም	ጎ+ም
ይከኣ	ይ+ከ+ኣ
ጋን	ጋ+ን
ጋና	ጋ+ና
ክሪስ	ክ+ሪስ
ይኮነ	ይ+ኮነ
ይክእ	ይ+ክእ
ክሰም	ክ+ሰ+ም
ብኦም	ብ+ኦ+ም
ጋዊ	ጋ+ዊ
ክሰር	ክ+ሰር
ግና	ግ+ና
ግን	ግ+ን
ብኣን	ብ+ኣ+ን
ግኣ	ግ+ኣ
ግኡ	ግ+ኡ
ክረኽ	ክ+ረኽ
ብእም	ብ+እ+ም
ብእኡ	ብ+እ+ኡ
ብኣይ	ብ+ኣይ
ክስሕ	ክ+ስሕ
ጕም	ጕ+ም
ብእዋ	ብ+እዋ
ክሳብ	ክ+ሳብ
ይኰነ	ይ+ኰነ
ክርአ	ክ+ርአ
ጸት	ጸ+ት
ብኣካ	ብ+ኣ+ካ
ይኰን	ይ+ኰ+ን
ክሰት	ክ+ሰ+ት
ከውን	ከ+ውን
ካቲት	ካቲ+ት
ብእግ	ብ+እግ
ይኸው	ይ+ኸው
ይኹን	ይ+ኹ+ን
ቦናን	ቦና+ን
ደባት	ደባ+ት
ደበት	ደበ+ት
ጠና	ጠ+ና
ይኽእ	ይ+ኽእ
ብኻል	ብ+ኻል
ብኸመ	ብ+ኸመ
ብኸም	ብ+ኸ+ም
ይወታ	ይ+ወታ
ይወት	ይ+ወ+ት
ጥኩ	ጥ+ኩ
ጨን	ጨ+ን
ብኸፊ	ብ+ኸፊ
ክቐር	ክ+ቐር
ጸን	ጸ+ን
ምጽን	ምጽ+ን
ምጽና	ምጽ+ና
ከይት	ከይ+ት
ምጽኡ	ምጽ+ኡ
ጳኛ	ጳ+ኛ
ብወገ	ብ+ወገ
ጻም	ጻ+ም
ጽም	ጽ+ም
ጸዊ	ጸ+ዊ
ጻት	ጻ+ት
ጾም	ጾ+ም
ጺኡ	ጺ+ኡ
ጺኣ	ጺ+ኣ
ጻን	ጻ+ን
ጻና	ጻ+ና
ክቕጽ	ክ+ቕጽ
ብዕለ	ብ+ዕለ
ጸሊም	ጸሊ+ም
ጻዊ	ጻ+ዊ
ጽና	ጽ+ና
ጾት	ጾ+ት
ጽን	ጽ+ን
ጽኣ	ጽ+ኣ
ጽኡ	ጽ+ኡ
ጽካ	ጽ+ካ
ብዙሓ	ብ+ዙሓ
ብዓወ	ብ+ዓወ
ይዝከ	ይ+ዝከ
ብዓቢ	ብ+ዓቢ
ክበሃ	ክ+በሃ
ብዓት	ብ+ዓ+ት
ብዓታ	ብ+ዓታ
ክብሪ	ክ+ብሪ
ብዝሒ	ብ+ዝሒ
ብዙሕ	ብ+ዙሕ
ብዓይ	ብ+ዓይ
ብዛሕ	ብ+ዛሕ
ክብሉ	ክ+ብሉ
ክብል	ክ+ብል
ክበጽ	ክ+በጽ
ብዝብ	ብ+ዝብ
ብዝበ	ብ+ዝበ
ብዝተ	ብ+ዝተ
ፈት	ፈ+ት
ብዛዕ	ብ+ዛዕ
ፉት	ፉ+ት
ፈን	ፈ+ን
ብዘየ	ብ+ዘየ
ብዘይ	ብ+ዘይ
ይደል	ይ+ደል
ፍሲ	ፍ+ሲ
ፋት	ፋ+ት
ፎም	ፎ+ም
ብዝያ	ብ+ዝያ
ፋን	ፋ+ን
ፍት	ፍ+ት
ፍና	ፍ+ና
ፍን	ፍ+ን
ፍኡ	ፍ+ኡ
ፍካ	ፍ+ካ
ደንት	ደን+ት
ክተር	ክ+ተር
ፓት	ፓ+ት
ክታት	ክ+ታ+ት
ክትረ	ክ+ትረ
ክትሪ	ክ+ትሪ
ክትር	ክ+ትር
ረሎም	ረሎ+ም
ፓኪ	ፓ+ኪ
ክትብ	ክ+ትብ
ክትሓ	ክ+ትሓ
ክትመ	ክ+ትመ
ክትም	ክ+ት+ም
ክትከ	ክ+ትከ
ክትኮ	ክ+ትኮ
ክትዕ	ክ+ትዕ
ክትወ	ክ+ትወ
ብደቂ	ብ+ደቂ
ብያተ	ብ+ያተ
ብዮም	ብ+ዮ+ም
ክትን	ክ+ት+ን
ብድሆ	ብ+ድሆ
ይጀር	ይ+ጀር
ብድሕ	ብ+ድሕ
ክትፈ	ክ+ትፈ
ብድም	ብ+ድ+ም
ብዳብ	ብ+ዳብ
ክትገ	ክ+ትገ
ድሌት	ድሌ+ት
ይገል	ይ+ገል
ይግለ	ይ+ግለ
ይገብ	ይ+ገብ
ይገበ	ይ+ገበ
ድሓን	ድሓ+ን
ይግባ	ይ+ግባ
ክነብ	ክ+ነብ
ብገስ	ብ+ገስ
ክንብ	ክ+ንብ
ክንመ	ክ+ንመ
ክንደ	ክ+ንደ
ክንዲ	ክ+ንዲ
ክንድ	ክ+ንድ
ክንነ	ክ+ንነ
ብግቡ	ብ+ግቡ
ክንከ	ክ+ንከ
ቦይን	ቦይ+ን
ክንፈ	ክ+ንፈ
ክንገ	ክ+ንገ
ድራት	ድራ+ት
ክእለ	ክ+እለ
ክእል	ክ+እል
ክኢሉ	ክ+ኢሉ
ክኢላ	ክ+ኢላ
ይጠፍ	ይ+ጠፍ
ረሽን	ረሽ+ን
ድስና	ድስ+ና
ኮነን	ኮነ+ን
ካይዶ	ካይ+ዶ
ረቐት	ረቐ+ት
ክኽእ	ክ+ኽእ
ክኸው	ክ+ኸው
ዲኦም	ዲ+ኦም
ክኸይ	ክ+ኸይ
ይጽን	ይ+ጽ+ን
ብጻሕ	ብ+ጻሕ
ይፈለ	ይ+ፈለ
ይፈል	ይ+ፈል
ክኾኑ	ክ+ኾኑ
ክዀኑ	ክ+ዀኑ
ክወር	ክ+ወር
ብጻባ	ብ+ጻባ
ክውሰ	ክ+ውሰ
ይፍለ	ይ+ፍለ
ብጾት	ብ+ጾ+ት
ክውን	ክ+ው+ን
ክወጽ	ክ+ወጽ
ይፈጥ	ይ+ፈጥ
ብፍላ	ብ+ፍላ
ክዛረ	ክ+ዛረ
ራሓት	ራሓ+ት
ረታዊ	ረታ+ዊ
ረትን	ረት+ን
ረታት	ረ+ታት
ራሕና	ራሕ+ና
ደገኛ	ደገ+ኛ
ተሃደ	ተ+ሃደ
ድታት	ድ+ታት
ተላብ	ተ+ላብ
ተሓለ	ተ+ሓለ
ክያድ	ክ+ያድ
ተሓሳ	ተ+ሓሳ
ተላዕ	ተ+ላዕ
ኰነን	ኰነ+ን
ኰንና	ኰን+ና
ተመሃ	ተ+መሃ
ተመል	ተ+መል
ተመላ	ተ+መላ
ተመሊ	ተ+መሊ
ኰንኩ	ኰን+ኩ
ተሓቢ	ተ+ሓቢ
ተሓብ	ተ+ሓብ
ተሓተ	ተ+ሓተ
ተሓጽ	ተ+ሓጽ
ተመር	ተ+መር
ተመራ	ተ+መራ
ተመሪ	ተ+መሪ
ተመስ	ተ+መስ
ተመሳ	ተ+መሳ
ተሓዝ	ተ+ሓዝ
ተሓደ	ተ+ሓደ
ተማህ	ተ+ማህ
ተማሃ	ተ+ማሃ
ተመዲ	ተ+መዲ
ተመኩ	ተ+መ+ኩ
ተማታ	ተ+ማታ
ተመዝ	ተ+መዝ
ክገል	ክ+ገል
ክገብ	ክ+ገብ
ርሃን	ርሃ+ን
ዳውን	ዳ+ውን
ተሪር	ተ+ሪር
ተራእ	ተ+ራእ
ተረጋ	ተ+ረጋ
ተራኺ	ተ+ራኺ
ተሰማ	ተ+ሰማ
ተሰሚ	ተ+ሰሚ
ክግበ	ክ+ግበ
ተሰር	ተ+ሰር
ተርነ	ተ+ርነ
ኮይና	ኮይ+ና
ረኣና	ረኣ+ና
ተረኽ	ተ+ረኽ
ተረኺ	ተ+ረኺ
ርሃዊ	ርሃ+ዊ
ሪቦም	ሪቦ+ም
ተረድ	ተ+ረድ
ተረዲ	ተ+ረዲ
ጻባት	ጻባ+ት
ተርእ	ተ+ርእ
ሪብካ	ሪብ+ካ
ተረፈ	ተ+ረፈ
ተሰብ	ተ+ሰብ
ረኩም	ረ+ኩም
ተሳተ	ተ+ሳተ
ተሰወ	ተ+ሰወ
ተሳታ	ተ+ሳታ
ተርፍ	ተ+ርፍ
ድኢት	ድኢ+ት
ጽሬት	ጽሬ+ት
ተሳፈ	ተ+ሳፈ
ርሒት	ርሒ+ት
ራቓዊ	ራቓ+ዊ
ራቕን	ራቕ+ን
ርመን	ርመ+ን
ርሕን	ርሕ+ን
ተስፋ	ተ+ስፋ
ዳደም	ዳደ+ም
ዳያት	ዳያ+ት
ክጥቀ	ክ+ጥቀ
ራቤት	ራቤ+ት
ቱርኪ	ቱር+ኪ
ኲናት	ኲና+ት
ራብን	ራብ+ን
ተቐቢ	ተ+ቐቢ
ተቐበ	ተ+ቐበ
ተቐት	ተ+ቐ+ት
ተቓወ	ተ+ቓወ
ርሰና	ርሰ+ና
ተቐይ	ተ+ቐይ
ተቐየ	ተ+ቐየ
ተቐዳ	ተ+ቐዳ
ክጻወ	ክ+ጻወ
ተባሂ	ተ+ባሂ
ተባህ	ተ+ባህ
ራትን	ራት+ን
ሮምን	ሮም+ን
ጻናት	ጻና+ት
ተባዕ	ተ+ባዕ
ተበግ	ተ+በግ
ተበጊ	ተ+በጊ
ተበገ	ተ+በገ
ክፈል	ክ+ፈል
ክፍለ	ክ+ፍለ
ክፍሊ	ክ+ፍሊ
ኰይና	ኰይ+ና
ክፋል	ክ+ፋል
ተታሒ	ተ+ታሒ
ጽበት	ጽበ+ት
ክፍታ	ክ+ፍታ
ሪካን	ሪካ+ን
ጸገም	ጸገ+ም
ጻእኩ	ጻእ+ኩ
ረድኡ	ረድ+ኡ
ረዲኡ	ረዲ+ኡ
ድዮም	ድዮ+ም
ርበት	ርበ+ት
ሪኻዊ	ሪኻ+ዊ
ርበኛ	ርበ+ኛ
ሰላም	ሰላ+ም
ተንብ	ተ+ንብ
ተንተ	ተ+ንተ
ርታት	ር+ታት
ርታን	ርታ+ን
ተነጽ	ተ+ነጽ
ጻወት	ጻወ+ት
ሰሙን	ሰሙ+ን
ጽነት	ጽ+ነት
ተኛታ	ተ+ኛታ
ተኣማ	ተ+ኣማ
ተኣሳ	ተ+ኣሳ
ሰሜና	ሰሜ+ና
ሰሜን	ሰሜ+ን
ትለቲ	ት+ለቲ
ሰረት	ሰረ+ት
ትሑት	ት+ሑ+ት
ትመር	ት+መር
ራዊት	ራዊ+ት
ትሕን	ት+ሕ+ን
ራዊን	ራዊ+ን
ጽኢት	ጽኢ+ት
ሰራዊ	ሰራ+ዊ
ትሕቲ	ት+ሕቲ
ትሕተ	ት+ሕተ
ትሒዙ	ት+ሒዙ
ትምለ	ት+ምለ
ርነት	ር+ነት
ራውን	ራ+ውን
ትማሊ	ት+ማሊ
ጽእን	ጽእ+ን
ትምህ	ት+ምህ
ርናን	ርና+ን
ትምኒ	ት+ምኒ
ተኽሊ	ተ+ኽሊ
ትመጽ	ት+መጽ
ተኺል	ተ+ኺል
ተኸታ	ተ+ኸታ
ተኸቲ	ተ+ኸቲ
ተኻየ	ተ+ኻየ
ተዀነ	ተ+ዀነ
ተኾይ	ተ+ኾይ
ትራል	ት+ራል
ተኾነ	ተ+ኾነ
ተዄን	ተ+ዄ+ን
ትረኽ	ት+ረኽ
ተወሳ	ተ+ወሳ
ተወሰ	ተ+ወሰ
ትሪክ	ት+ሪክ
ተወሃ	ተ+ወሃ
ተወል	ተ+ወል
ትረክ	ት+ረክ
ትርእ	ት+ርእ
ትርኢ	ት+ርኢ
ተውህ	ተ+ውህ
ተወከ	ተ+ወከ
ትረፍ	ት+ረፍ
ተዋሂ	ተ+ዋሂ
ርኢት	ርኢ+ት
ተዋህ	ተ+ዋህ
ተወት	ተ+ወ+ት
ርእሲ	ርእ+ሲ
ትራው	ት+ራው
ትራዊ	ት+ራ+ዊ
ትሰር	ት+ሰር
ርኩም	ር+ኩም
ተወዳ	ተ+ወዳ
ትርጉ	ት+ርጉ
ርክት	ርክ+ት
ታትን	ታት+ን
ታትና	ታት+ና
ተውዒ	ተ+ውዒ
ታታት	ታ+ታት
ተዓዊ	ተ+ዓ+ዊ
ተዘር	ተ+ዘር
ተዓዘ	ተ+ዓዘ
ተውጽ	ተ+ውጽ
ቶምን	ቶም+ን
ጽዋት	ጽዋ+ት
ተዛረ	ተ+ዛረ
ተዘይ	ተ+ዘይ
ሰባት	ሰባ+ት
ቲካዊ	ቲካ+ዊ
ሪጣን	ሪጣ+ን
ሰብኣ	ሰብ+ኣ
ሮኣዊ	ሮኣ+ዊ
ተደል	ተ+ደል
ተይቲ	ተ+ይቲ
ተይን	ተ+ይ+ን
ርዓት	ርዓ+ት
ተደጋ	ተ+ደጋ
ርዓዊ	ርዓ+ዊ
ትብሎ	ት+ብሎ
ትብል	ት+ብል
ትብለ	ት+ብለ
ትብባ	ት+ብባ
ተገል	ተ+ገል
ተገሊ	ተ+ገሊ
ትበጽ	ት+በጽ
ቸልሲ	ቸል+ሲ
ተገብ	ተ+ገብ
ተገን	ተ+ገ+ን
ተገረ	ተ+ገረ
ተገዳ	ተ+ገዳ
ተግባ	ተ+ግባ
ተግብ	ተ+ግብ
ርያም	ርያ+ም
ርያት	ርያ+ት
ትታት	ት+ታ+ት
ተጋደ	ተ+ጋደ
ርያዊ	ርያ+ዊ
ሰንኪ	ሰን+ኪ
ተጓዓ	ተ+ጓዓ
ኺቦም	ኺቦ+ም
ተጠቕ	ተ+ጠቕ
ስለኒ	ስ+ለኒ
ስለዚ	ስ+ለዚ
ስለዘ	ስ+ለዘ
ተጫረ	ተ+ጫረ
ስለዝ	ስ+ለዝ
ስላን	ስ+ላ+ን
ስለን	ስ+ለ+ን
ርጀን	ርጀ+ን
ታዊት	ታዊ+ት
ስልም	ስ+ል+ም
ቶታት	ቶ+ታት
ስልን	ስ+ል+ን
ታውን	ታ+ውን
ርጉም	ርጉ+ም
ስሕቕ	ስ+ሕቕ
ትናን	ት+ና+ን
ስልጣ	ስ+ልጣ
ስልጠ	ስ+ልጠ
ስመር	ስ+መር
ስመራ	ስ+መራ
ሲታት	ሲ+ታት
ተጸን	ተ+ጸ+ን
ትንፋ	ት+ንፋ
ስምም	ስ+ም+ም
ተጸበ	ተ+ጸበ
ተጻሕ	ተ+ጻሕ
ስመዓ	ስ+መዓ
ስምዒ	ስ+ምዒ
ስምዓ	ስ+ምዓ
ተጻዊ	ተ+ጻ+ዊ
ተጻወ	ተ+ጻወ
ተጻዋ	ተ+ጻዋ
ስማዕ	ስ+ማዕ
ሳባት	ሳባ+ት
ትካል	ት+ካል
ትካላ	ት+ካላ
ትከል	ት+ከል
ኸዉን	ኸዉ+ን
ትከው	ት+ከው
ስርሕ	ስ+ርሕ
ስርሒ	ስ+ርሒ
ስርሓ	ስ+ርሓ
ትእዛ	ት+እዛ
ኸውን	ኸ+ውን
ተፈል	ተ+ፈል
ትክል	ት+ክል
ተፈላ	ተ+ፈላ
ስራሕ	ስ+ራሕ
ስራሓ	ስ+ራሓ
ስራኤ	ስ+ራኤ
ታይን	ታይ+ን
ተፈጥ	ተ+ፈጥ
ተፍቲ	ተ+ፍቲ
ስርዓ	ስ+ርዓ
ሳታት	ሳ+ታት
ሳቶም	ሳቶ+ም
ስሳታ	ስ+ሳታ
ሰዓት	ሰዓ+ት
ትኽእ	ት+ኽእ
ትወስ	ት+ወስ
ትዌር	ት+ዌር
ትውዎ	ት+ውዎ
ትውን	ት+ው+ን
ሰያት	ሰያ+ት
ስቓስ	ስ+ቓስ
ትዕዘ	ት+ዕዘ
ትዛረ	ት+ዛረ
ሮጳን	ሮጳ+ን
ትደሊ	ት+ደሊ
ስተር	ስ+ተር
ፈረን	ፈረ+ን
ስትሮ	ስ+ትሮ
ስትሪ	ስ+ትሪ
ስትራ	ስ+ትራ
ስታት	ስ+ታ+ት
ስተው	ስ+ተው
ስቲካ	ስ+ቲ+ካ
ስታን	ስ+ታ+ን
ስተይ	ስ+ተይ
ስቲክ	ስ+ቲክ
ስተን	ስ+ተ+ን
ትዮጵ	ት+ዮጵ
ስትም	ስ+ት+ም
ስታይ	ስ+ታይ
ስትን	ስ+ት+ን
ጀክት	ጀክ+ት
ሸሞን	ሸሞ+ን
ስትዮ	ስ+ትዮ
ትገል	ት+ገል
ትግር	ት+ግር
ትገብ	ት+ገብ
ፊልም	ፊል+ም
ትግባ	ት+ግባ
ስነት	ስ+ነ+ት
ስንኩ	ስ+ን+ኩ
ጃታት	ጃ+ታት
ኾነት	ኾ+ነት
ስክፍ	ስ+ክፍ
ፈታት	ፈ+ታት
ትፈል	ት+ፈል
ፋሪት	ፋሪ+ት
ስዋእ	ስ+ዋእ
ስዒቦ	ስ+ዒቦ
ስዓብ	ስ+ዓብ
ስዕረ	ስ+ዕረ
ስዓር	ስ+ዓር
ስዕብ	ስ+ዕብ
ስዕቡ	ስ+ዕቡ
ገማት	ገማ+ት
ስያን	ስ+ያ+ን
ፍሊት	ፍሊ+ት
ስድራ	ስ+ድራ
ገርም	ገር+ም
ገራት	ገራ+ት
ገርና	ገር+ና
ገራዊ	ገራ+ዊ
ፍረት	ፍረ+ት
ስጉም	ስ+ጉ+ም
ስገን	ስ+ገ+ን
ስግኣ	ስ+ግ+ኣ
ጉራዊ	ጉራ+ዊ
ስጕም	ስ+ጕ+ም
ስጢር	ስ+ጢር
ስጤማ	ስ+ጤማ
ቻይና	ቻይ+ና
