የኦነግ	የ+ኦነግ
ስራዎችና	ስ+ራዎች+ና
ስራዎችንም	ስ+ራዎች+ንም
ስራዎችንና	ስ+ራዎች+ንና
ስራዎችበአገልግሎት	ስራዎችበ+አገልግሎት
ስራየን	ስ+ራየን
ስራዬን	ስ+ራዬን
ስርም	ስ+ርም
ስርቆት	ስ+ርቆት
ስርና	ስ+ርና
ስርአተ	ስ+ርአተ
ስርአቱ	ስ+ርአቱ
ስርአቱን	ስ+ርአቱን
ስርአቱንና	ስ+ርአቱን+ና
ስርአታችሁን	ስ+ርአታችሁን
ስርአታችን	ስ+ርአታችን
ስርአታችንን	ስርአታችን+ን
ስርአትም	ስ+ርአትም
ስርአትና	ስ+ርአትና
ስርአትን	ስ+ርአትን
ስርአቶች	ስ+ርአቶች
ስርአጭት	ስ+ርአጭት
ስርወመንግስት	ስርወ+መንግስት
ስርወቃላት	ስርወ+ቃላት
ስርዓቱ	ስርዓ+ቱ
ስርዓቱን	ስርዓ+ቱን
ስርዓቱንም	ስርዓ+ቱን+ም
ስርዓቱንና	ስርዓ+ቱን+ና
ስርዓታት	ስርዓ+ታት
ስርዓታቸው	ስርዓ+ታቸው
ስርዓታቸውን	ስርዓ+ታቸውን
ስርዓታችን	ስርዓ+ታችን
ስርዓታችንን	ስርዓ+ታችንን
ስርዓትም	ስርዓት+ም
ስርዓትና	ስርዓት+ና
ስርዓትን	ስርዓት+ን
ስርዓትህዝቡን	ስርዓትህዝ+ቡን
ስርዓቶቹ	ስርዓ+ቶቹ
ስርዓቶች	ስርዓ+ቶች
ስርዓቶችን	ስርዓ+ቶችን
ስርዓቶችንም	ስርዓ+ቶች+ንም
ስርገትን	ስርገት+ን
ስርጨት	ስ+ርጨት
ስርጪቱ	ስ+ርጪቱ
ስርጭቱ	ስ+ርጭቱ
ስርጭቱን	ስ+ርጭቱን
ስርጭቱንና	ስ+ርጭቱን+ና
ስርጭት	ስ+ርጭት
ስርጭትም	ስ+ርጭት+ም
ስርጭትና	ስ+ርጭት+ና
ስርጭትን	ስ+ርጭትን
ስርጭትንና	ስ+ርጭት+ንና
ስርጸት	ስ+ርጸት
ስርጸትን	ስ+ርጸትን
ስርፀት	ስ+ርፀት
ስስተኛ	ስ+ስተኛ
ስስታሞች	ስ+ስታሞች
ስቀህ	ስ+ቀህ
ስቀረን	ስ+ቀረን
ስቀበል	ስ+ቀበል
ስቀው	ስ+ቀው
ስቀጠር	ስ+ቀጠር
ስቃዩን	ስ+ቃዩን
ስቃይና	ስ+ቃይና
ስቃይን	ስ+ቃይን
ስቅለተ	ስ+ቅለተ
ስቅለት	ስ+ቅለት
ስቅሎ	ስ+ቅሎ
ስበሰሰባውን	ስ+በሰሰባውን
ስበሰባ	ስ+በሰባ
ስበሰባውን	ስ+በሰባውን
ስበት	ስ+በት
ስቡህ	ስ+ቡህ
ስብሀትና	ስብሀት+ና
ስብርባሪ	ስ+ብርባሪ
ስብሰበ	ስ+ብሰበ
ስብሰባ	ስ+ብሰባ
ስብሰባው	ስ+ብሰባው
ስብሰባውን	ስ+ብሰባውን
ስብሰባቸውም	ስ+ብሰባቸው+ም
ስብሰባቸውን	ስ+ብሰባቸውን
ስብሰባን	ስ+ብሰባን
ስብሰባንና	ስ+ብሰባን+ና
ስብሰባዉን	ስ+ብሰባዉን
እንዳይደረግ	እን+ዳይደረግ
ስብሰባውም	ስ+ብሰባው+ም
ስብሰባውንም	ስ+ብሰባው+ንም
ስብሰባዎቹ	ስ+ብሰባዎቹ
ስብሰባዎች	ስ+ብሰባዎች
ስብሰባዎችም	ስ+ብሰባዎች+ም
ስብሰባዎችና	ስ+ብሰባዎች+ና
ስብሰባዎችን	ስ+ብሰባዎችን
ስብሳቢው	ስ+ብሳቢው
ስብሳባ	ስ+ብሳባ
ስብስባ	ስ+ብስባ
ስብስባውን	ስ+ብስባውን
ስብስብነት	ስ+ብስብነት
ስብስቦች	ስ+ብስቦች
ስብከት	ስ+ብከት
ስብከትም	ስ+ብከት+ም
ስብዕናቸው	ስብዕ+ናቸው
ስብዕናን	ስብዕና+ን
ስብዕናው	ስብዕና+ው
ስብዕናውን	ስብዕና+ውን
ስብጥሩ	ስ+ብጥሩ
ስብጥርና	ስ+ብጥርና
ስቦ	ስ+ቦ
ስተው	ስ+ተው
ስቱዱዮና	ስቱዱዮ+ና
ስቱዲዮን	ስቱዲዮ+ን
ስታሞጋግሳቸው	ስ+ታ+ሞጋግሳቸው
ስታራምድ	ስ+ታራምድ
ስታርቴጁ	ስታርቴ+ጁ
ስታሮቹ	ስታ+ሮቹ
ስታሳያቸው	ስታ+ሳያቸው
ስታስቀምጥ	ስ+ታስቀምጥ
ስታስቲካዊ	ስታስቲ+ካዊ
ስታስፈራራበት	ስታ+ስፈራራበት
ስታቀርብ	ስ+ታቀርብ
ስታቀርብለት	ስ+ታ+ቀርብለት
ስታቅማማ	ስ+ታቅማማ
ስታቅድ	ስ+ታቅ+ድ
ስታቲስቲካዊ	ስታቲስቲ+ካዊ
ስታካሂድ	ስ+ታካሂድ
ስታወቁት፤	ስ+ታወቁት፤
ስታደርስ	ስ+ታደርስ
ስታደርገው	ስ+ታ+ደርገው
ስታደርጉ	ስ+ታ+ደርጉ
ስታደርግም	ስ+ታ+ደርግም
ስታገባ	ስ+ታገባ
ስታገኝ	ስ+ታገኝ
ስታጎርሰው	ስ+ታ+ጎርሰው
ስታፈራርስ	ስ+ታፈራርስ
ስታፍስ	ስ+ታፍ+ስ
ስቴትስና	ስቴትስ+ና
ስቴቶች	ስቴ+ቶች
ስትሆን	ስት+ሆን
ስትልም	ስ+ትል+ም
ስትልክ	ስ+ትል+ክ
ስትል	ስት+ል
ስትመለከት	ስ+ት+መለከት
ስትመሰረት	ስ+ት+መሰረት
ስትማቅቅ	ስ+ትማቅ+ቅ
ስትሪት	ስ+ትሪት
ስትራተጂው	ስትራተጂ+ው
ስትራተጂዎች	ስትራተጂ+ዎች
ስትራተጂያዊ	ስትራተጂ+ያዊ
ስትራተጅዎችን	ስትራተጅ+ዎችን
ስትራቲጂና	ስትራቲጂ+ና
ስትራቲጂክ	ስትራቲጂ+ክ
ስትራቴጂና	ስትራቴጂ+ና
ስትራቴጂም	ስትራቴጂ+ም
ስትራቴጂስት	ስትራቴጂ+ስት
ስትራቴጂን	ስትራቴጂ+ን
ስትራቴጂአዊ	ስትራቴጂ+አዊ
ስትራቴጂዋን	ስትራቴጂ+ዋን
ስትራቴጂውን	ስትራቴጂ+ውን
ስትራቴጂዎች	ስትራቴጂ+ዎች
ስትራቴጂዎችና	ስትራቴጂ+ዎች+ና
ስትራቴጂዎችን	ስትራቴጂ+ዎችን
ስትራቴጂዎችንና	ስትራቴጂ+ዎች+ንና
ስትራቴጂያቸው	ስትራቴጂ+ያቸው
ስትራቴጂያችን	ስትራቴጂ+ያችን
ስትራቴጃዊና	ስትራቴጃ+ዊ+ና
ስትራቴጅካዊ	ስትራቴጅ+ካዊ
ስትራቴጅካዊነትም	ስትራቴጅ+ካዊነት+ም
ስትራቴጅዎች	ስትራቴጅ+ዎች
ስትራቴጅዎችን	ስትራቴጅ+ዎችን
ስትሰብር	ስ+ትሰብ+ር
ስትሳተፍ	ስ+ት+ሳተፍ
ስትተርክ	ስ+ት+ተርክ
ስትታይ»	ስት+ታይ+»
ስትነግረኘ	ስ+ትነግ+ረኘ
ስትከተል	ስ+ት+ከተል
ስትከታተል	ስ+ት+ከታተል
ስትክድ	ስ+ትክ+ድ
ስትወልድ	ስ+ትወል+ድ
ስትወስን	ስ+ትወስ+ን
ስትውለበለብ	ስ+ትው+ለበለብ
ስትዘምት	ስ+ት+ዘምት
እንዲተባሩዋት	እንዲ+ተባሩዋት
ስትዘክር	ስ+ትዘክ+ር
ስትደባብስ	ስ+ትደባብ+ስ
ስትደግፍ	ስ+ትደግ+ፍ
ስትጀምር	ስ+ትጀም+ር
ስትገልጽ	ስ+ትገል+ጽ
ስትገልፅ	ስ+ትገል+ፅ
ስትጠብቅ	ስ+ትጠብ+ቅ
ስትጠይቅ	ስ+ትጠይ+ቅ
ጓዶች	ጓ+ዶች
ስትፈቅድ	ስ+ትፈቅ+ድ
ስቷል	ስ+ቷል
ስነ-ልቦናዊ	ስነ+-ልቦናዊ
ስነ-ምህዳሮች	ስነ-ምህዳ+ሮች
ስነ-ምግባርና	ስነ-ምግባር+ና
ስነ-ምግባርን	ስነ-ምግባር+ን
ስነ-ስራቱ	ስነ+-ስራቱ
ስነ-ስርአቱ	ስነ+-ስርአቱ
ስነ-ስርአቶች	ስነ-ስርአ+ቶች
ስነ-ስርዓቱ	ስነ-ስርዓ+ቱ
ስነ-ስርዓቱን	ስነ-ስርዓ+ቱን
ስነ-ስርዓትም	ስነ-ስርዓት+ም
ስነ-ስርዓትና	ስነ-ስርዓት+ና
ስነ-ስርዓቶች	ስነ-ስርዓ+ቶች
ስነ-አካላዊ	ስነ+-አካላዊ
ስነ-ጥበባትና	ስነ+-ጥበባት+ና
ስነ-ጥበብና	ስነ+-ጥበብና
ስነህንጻ	ስነ+ህንጻ
ስነልቦናን	ስነልቦና+ን
ስነምግባራዊ	ስነምግባ+ራዊ
ስነምግባርና	ስነምግባር+ና
ስነስርአቱ	ስነስ+ርአቱ
ስነስርአትም	ስነስ+ርአትም
ስነስርአቶች	ስነስርአ+ቶች
ስነስርዓቱ	ስነስርዓ+ቱ
ስነጥቃት	ስነ+ጥቃት
ስነፁሁፍፍልስፍና	ስነፁሁፍፍ+ልስፍና
እንዲያድግ	እንዲ+ያድ+ግ
ስኒዎቹን	ስኒ+ዎቹን
ስናመጣ	ስና+መጣ
ስናሰላዉ	ስ+ናሰላዉ
ስናሳስብ	ስ+ናሳስብ
ስናስረከብ	ስ+ናስረከብ
ስናቀርብ	ስ+ናቀርብ
ስናከበር	ስ+ናከበር
ስናከብር	ስ+ናከብር
ስናከብርም	ስ+ና+ከብርም
ስናውቅና	ስ+ናውቅና
ስናደርግ	ስ+ናደርግ
ስናድስ	ስ+ናድ+ስ
ስንሆን	ስ+ን+ሆን
ስንመሠርት	ስ+ንመሠር+ት
ስንሞክር	ስ+ንሞክ+ር
ስንሻው	ስ+ንሻው
ስንቀነሽ	ስ+ን+ቀነሽ
ስንቁ	ስ+ንቁ
ስንቁን	ስ+ንቁን
ስንቃቸው	ስ+ንቃቸው
ስንቱ	ስን+ቱ
ስንታዩ	ስን+ታዩ
ስንቶቻችን	ስን+ቶቻችን
ስንቶች	ስን+ቶች
ስንችል	ስ+ንች+ል
ስንናኝ	ስ+ንናኝ
ስንናገር	ስ+ን+ናገር
ስንኖር	ስ+ን+ኖር
ስንኝም	ስንኝ+ም
ስንኞች	ስን+ኞች
ስንወተውት	ስ+ንወተው+ት
ስንዘክር	ስ+ንዘክ+ር
ስንደርስ	ስ+ንደር+ስ
ስንደክም	ስ+ንደክ+ም
ስንዴና	ስንዴ+ና
ስንዴን	ስንዴ+ን
ስንዴው	ስንዴ+ው
ስንዴውን	ስንዴ+ውን
ስንጀምር	ስ+ንጀም+ር
ስንገመግም	ስ+ንገመግ+ም
ስንጨፍን	ስ+ን+ጨፍን
ስንጽፍ	ስ+ንጽ+ፍ
ስንፈፅም	ስ+ንፈፅ+ም
ስንፍናንና	ስንፍ+ና+ንና
ስአታት	ስአ+ታት
ስእሎች	ስእ+ሎች
ስእሎችን	ስእ+ሎችን
ስእከሚባል	ስ+እከሚባል
ስከበር	ስ+ከበር
ስካውቶች	ስካው+ቶች
ስኬሉ	ስኬ+ሉ
ስኬልና	ስኬል+ና
ስኬማታውን	ስ+ኬማታውን
ስኬቱ	ስ+ኬቱ
ስኬታማ	ስ+ኬታማ
ስኬታማነቱ	ስ+ኬታማነቱ
ስኬታማነት	ስ+ኬታማነት
ስኬታማነትም	ስ+ኬታማነት+ም
ስኬታማነትና	ስ+ኬታማነት+ና
ስኬታቸውም	ስ+ኬታቸው+ም
ስኬታችን	ስ+ኬታችን
ስኬትም	ስ+ኬትም
ስኬትና	ስ+ኬትና
ስኬትን	ስ+ኬትን
ስኬቶቶች	ስ+ኬቶቶች
ስኬቶቸን	ስ+ኬቶቸን
ስኬቶቹን	ስ+ኬቶቹን
ስኬቶቻችን	ስ+ኬቶቻችን
ስኬቶች	ስ+ኬቶች
ስኬቶችና	ስ+ኬቶች+ና
ስኬቶችን	ስ+ኬቶችን
ስኬቶችንና	ስ+ኬቶች+ንና
ስክሪፕቶውም	ስክሪፕቶ+ው+ም
ስክርቢቶው	ስክርቢቶ+ው
ስኮስትሮም	ስኮስትሮ+ም
ስኳርና	ስኳር+ና
ስኳርን	ስኳር+ን
ስወከፍ	ስ+ወከፍ
ስዊዘርላንዳዊው	ስዊዘር+ላንዳዊው
ስዊዘርላንዳውያን	ስዊዘር+ላንዳውያን
ቀጥሎ	ቀጥ+ሎ
ስውርነት	ስውር+ነት
ስውርነትን	ስውር+ነትን
ስውነት	ስው+ነት
ስዎች	ስዎ+ች
ስዎችን	ስዎ+ችን
ስዕላዊ	ስ+ዕላዊ
ስዕሎችን	ስ+ዕሎችን
ባንዳው	ባንዳ+ው
ስዩምም	ስዩም+ም
ስያሜ	ስ+ያሜ
ዘውገኞቹ	ዘው+ገኞቹ
ስያሜን	ስ+ያሜን
ስያሜዋ	ስ+ያሜዋ
ስያሜዋን	ስ+ያሜዋን
ስያሜው	ስ+ያሜው
ስያሜውም	ስ+ያሜው+ም
ስያሜውን	ስ+ያሜውን
ስያሜዎቻቸው	ስ+ያሜዎቻቸው
ስያሜዎቻችንን	ስ+ያሜዎቻችንን
ስያሜዎች	ስ+ያሜዎች
ስያሜዎችን	ስ+ያሜዎችን
ስያሜያቸውን	ስ+ያሜያቸውን
ስይታይባቸው	ስይ+ታይባቸው
ስደተኖች	ስ+ደተኖች
ስደተኛ	ስ+ደተኛ
ስደተኛ-ኦች	ስ+ደተኛ-ኦች
ስደተኝነትን	ስ+ደተኝነትን
ስደተኞቹ	ስ+ደተኞቹ
ስደተኞቹን	ስ+ደተኞቹን
ስደተኞች	ስ+ደተኞች
ስደተኞችም	ስ+ደተኞች+ም
ስደተኞችን	ስ+ደተኞችን
ስደተኞችንና	ስ+ደተኞች+ንና
ስደት	ስ+ደት
ስደትን	ስ+ደትን
ስደትንና	ስ+ደት+ንና
ስድሰተኛ	ስድሰ+ተኛ
ስድስተኛ	ስድስ+ተኛ
ስድስተኛዋ	ስድስ+ተኛዋ
ስድስተኛው	ስድስ+ተኛው
ስድስተኛውን	ስድስ+ተኛውን
ስድስቱንም	ስድስ+ቱን+ም
ስድስትኛው	ስድስት+ኛው
ስድተኛ	ስ+ድተኛ
ስድተኞች	ስ+ድተኞች
ስገልጽ	ስ+ገልጽ
ስገባ	ስ+ገባ
ስጋ	ስ+ጋ
ስጋቱ	ስ+ጋቱ
ስጋቱን	ስ+ጋቱን
ስጋታቸውን	ስ+ጋታቸውን
ስጋታችን	ስ+ጋታችን
ስጋት	ስ+ጋት
ስጋትን	ስ+ጋትን
ስጋቶች	ስ+ጋቶች
ስጋቶችን	ስ+ጋቶችን
ስጋቶቹ	ስ+ጋቶቹ
ስጋትም	ስ+ጋት+ም
ስጋትነት	ስ+ጋትነት
ስጋትና	ስ+ጋት+ና
ስጋቶችመፍትሄዎችና	ስጋቶችመፍትሄ+ዎች+ና
ስጋችን	ስ+ጋችን
ስግብግብነትና	ስ+ግብግብነት+ና
ስግብግቦች	ስ+ግብግቦች
ስግደተኞቹ	ስ+ግደተኞቹ
ስግደተኞቹን	ስ+ግደተኞቹን
ስግደተኞች	ስ+ግደተኞች
ስግደተኞችን	ስ+ግደተኞችን
ስግደት	ስ+ግደት
ስግደትን	ስ+ግደትን
ስጠብቅ	ስ+ጠብቅ
ስጠው	ስ+ጠው
ስጠው›	ስ+ጠው›
ስጠይቀው	ስ+ጠይ+ቀው
ስጠይቃቸው	ስ+ጠይ+ቃቸው
ስጡበት	ስ+ጡበት
በኤምኤስኤንቢሲ	በ+ኤምኤስኤንቢሲ
ስጥተዋል	ስ+ጥተዋል
ስጥቶ	ስ+ጥቶ
ስጥቶበት	ስ+ጥቶበት
ስጥቷት	ስ+ጥቷት
ስጦታ	ስ+ጦታ
ስጦታነት	ስ+ጦታነት
ስጦታው	ስ+ጦታው
ስጦታውን	ስ+ጦታውን
ስጦታዎች	ስ+ጦታዎች
ስጦታዎችን	ስ+ጦታዎችን
ስጦታ’	ስ+ጦታ’
ስጦታ››	ስ+ጦታ››
ስጦት	ስ+ጦት
ስፈልግ	ስ+ፈልግ
ስፈራው	ስ+ፈራው
ስፈራዎች	ስ+ፈራዎች
ስፋ	ስ+ፋ
ስፋሪዎች	ስ+ፋሪዎች
ስፋራ	ስፋ+ራ
ስፋቱ	ስ+ፋቱ
ስፋቱን	ስ+ፋቱን
ስፋቱዋም	ስ+ፋቱዋም
ስፋታቸው	ስ+ፋታቸው
ስፋታቸውም	ስ+ፋታቸው+ም
ስፋት	ስ+ፋት
ስፋትና	ስ+ፋት+ና
ስፋትም	ስ+ፋት+ም
ስፋቷ	ስ+ፋቷ
ስፌትና	ስ+ፌትና
ስፍራዎች	ስፍራ+ዎች
ስፍራም	ስፍራ+ም
ስፍራን	ስፍራ+ን
ስፍራው	ስፍራ+ው
ስፍራዎቹ	ስፍራ+ዎቹ
ስፍራዎቹን	ስፍራ+ዎቹን
ስፍራዎቹንና	ስፍራ+ዎ+ቹንና
ስፍራዎችም	ስፍራ+ዎች+ም
ስፍራዎችና	ስፍራ+ዎች+ና
ስፍራዎችን	ስፍራ+ዎችን
ስፍራዎችንና	ስፍራ+ዎች+ንና
ስፓየርና	ስፓየር+ና
ስፔሻሊስቶችና	ስፔሻሊስ+ቶች+ና
ስፔሽያሊስቶች	ስፔሽያሊስ+ቶች
ስፔንና	ስፔን+ና
ስፔንን	ስፔን+ን
ስፖርተኞች	ስፖር+ተኞች
ስፖርተኞችና	ስፖር+ተኞች+ና
ስፖርተኞችን	ስፖር+ተኞችን
ስፖርታዊ	ስፖር+ታዊ
ስፖርትም	ስፖርት+ም
ስፖርትና	ስፖርት+ና
ሶማሊላንድን	ሶማሊ+ላንድን
ሶማሊኛ	ሶማሊ+ኛ
ሶማሊያ	ሶማሊ+ያ
ሶማሊያና	ሶማሊ+ያ+ና
ሶማሊያን	ሶማሊ+ያን
ሶማሊያዊ	ሶማሊ+ያዊ
ሶማሊያዊያኑ	ሶማሊ+ያዊያኑ
ሶማሊያውያን	ሶማሊ+ያውያን
ሶማሌ	ሶማ+ሌ
ሶማሌን	ሶማ+ሌን
ሶማሌኛና	ሶማ+ሌኛ+ና
ሶማሌውከኦሮሞው	ሶማሌውከኦሮሞ+ው
ሶማልያ	ሶማል+ያ
ሶሪያዎቹ	ሶሪያ+ዎቹ
ሶርሳና	ሶርሳ+ና
ሶርቦንና	ሶርቦ+ን+ና
ሶርያውያንና	ሶርያው+ያ+ንና
ሶሰተኛ	ሶሰ+ተኛ
ሶሳይቲም	ሶሳይቲ+ም
ሶስተኛ	ሶስ+ተኛ
ሶስተኛዋ	ሶስ+ተኛዋ
ሶስተኛውን	ሶስ+ተኛውን
ሶስቱ	ሶስ+ቱ
ሶስቱን	ሶስ+ቱን
ሶስቱንም	ሶስ+ቱን+ም
ሶስት-እ-ኛ	ሶስት+-እ-ኛ
ሶስትም	ሶስት+ም
ሶስትና	ሶስት+ና
ሶስትን	ሶስት+ን
ሶሻሊስታዊ	ሶሻሊስ+ታዊ
ሶአደሩን	ሶ+አደሩን
ሶፊያን	ሶፊያ+ን
ሶፍትዌርና	ሶፍትዌር+ና
ሶፍትዌሮች	ሶፍትዌ+ሮች
ሶፍትዌሮችና	ሶፍትዌ+ሮች+ና
ሶፍትዌሮችን	ሶፍትዌ+ሮችን
ሶፍትዌሮችንም	ሶፍትዌ+ሮች+ንም
ሶፍያን	ሶፍያ+ን
ሸለቆና	ሸለቆ+ና
ሸለቆን	ሸለቆ+ን
ሸለቆው	ሸለቆ+ው
ሸለቆዎች	ሸለቆ+ዎች
ሸለቆዎችን	ሸለቆ+ዎችን
ሸለቆዎችንና	ሸለቆ+ዎች+ንና
ሸልማት	ሸል+ማት
ሸልሟል	ሸል+ሟል
ሸሚዛቸው	ሸሚ+ዛቸው
ሸማግሌዎቹን	ሸማግ+ሌዎቹን
ሸምተማ	ሸም+ተማ
ሸምተው	ሸም+ተው
ሸምድዶ	ሸም+ድዶ
ሸምጋዮች	ሸም+ጋዮች
ሸሪኮች	ሸሪ+ኮች
ሸርሽረዋል	ሸር+ሽረዋል
ሸሽተዋል	ሸሽ+ተዋል
ሸሽተው	ሸሽ+ተው
ሸሽቶ	ሸሽ+ቶ
ሸቀጣሸቀጥን	ሸቀጣሸቀጥ+ን
ሸቀጥና	ሸቀጥ+ና
ሸቀጥን	ሸቀጥ+ን
ሸበሌንና	ሸበሌ+ን+ና
ሸንተረሩን	ሸንተረ+ሩን
ሸንተረሯ	ሸንተረ+ሯ
ሸንተሮሮችን	ሸንተ+ሮሮችን
ሸንጎዎች	ሸንጎ+ዎች
ሸንፈትና	ሸን+ፈት+ና
ሸክላና	ሸክላ+ና
ሸክላዎች	ሸክላ+ዎች
ሸክሙን	ሸ+ክሙን
ሸዋና	ሸዋ+ና
ሸዋን	ሸዋ+ን
ሸዋከአርሲከምስራቅና	ሸዋከአርሲከ+ምስራቅና
ሸዌዎችና	ሸዌ+ዎች+ና
ዕቃው	ዕቃ+ው
ባለቤቱን	ባለ+ቤ+ቱን
ሸፍተው	ሸፍ+ተው
ሸፍቶልሃል	ሸፍ+ቶልሃል
የጅማው	የ+ጅማ+ው
ሸፍነው	ሸፍ+ነው
በካሣበበደልበድካም	በ+ካሣበበደልበድካም
ሸፍኑ	ሸፍ+ኑ
ሸፍኖታል	ሸፍ+ኖታል
ሸፍጥና	ሸፍጥ+ና
ሸፍጦችና	ሸፍ+ጦች+ና
ሹመታቸውን	ሹመታቸው+ን
እናግዛቸው	እ+ናግ+ዛቸው
ያገኙት	ያ+ገኙት
ሹማምንት	ሹማም+ንት
ሹማምንትና	ሹማም+ን+ትና
ሹማምንቶች	ሹማም+ንቶች
ሹማምንቶችን	ሹማም+ንቶችን
ሹማምንቶችንም	ሹማም+ን+ቶችንም
ሹምዬና	ሹምዬ+ና
ሹሞችእምቢተኝነት	ሹሞችእምቢ+ተኝነት
ሹርባው	ሹርባ+ው
ሹፌሮች	ሹፌ+ሮች
ሺሀይቶች	ሺሀይ+ቶች
የሚሆን	የ+ሚሆን
ሺህበላይተማሪዎችን	ሺህ+በላይተማሪዎችን
ሺህበላይተፈታኞችለፈተናቀርበው	ሺህ+በላይተፈታኞችለፈተናቀርበው
ሺህተመዝጋቢዎች	ሺህ+ተመዝጋቢዎች
ሺህኛ	ሺህ+ኛ
ሺህዎች	ሺህ+ዎች
ሺአይቶች	ሺአይ+ቶች
ሺዎቹ	ሺ+ዎቹ
ሺዎች	ሺ+ዎች
የሚቆጠሩ	የ+ሚ+ቆጠሩ
ሺዎችን	ሺ+ዎችን
ሺዎችንም	ሺ+ዎች+ንም
ሺየንፁህ	ሺየን+ፁህ
ሻማና	ሻማ+ና
ሻማውን	ሻማ+ውን
ሻማዎች	ሻማ+ዎች
ሻማዎችን	ሻማ+ዎችን
ሻምፒናዮና	ሻምፒናዮ+ና
ሻምፒዩና	ሻምፒዩ+ና
ሻምፒዮና	ሻምፒዮ+ና
ሻምፒዮናውን	ሻምፒዮ+ናውን
ሻምፒዮናዎች	ሻምፒዮ+ናዎች
ሻምፒዮን	ሻምፒዮ+ን
ሻምፕዮና	ሻምፕዮ+ና
ሻረው	ሻ+ረው
ሻሪፍንና	ሻሪፍን+ና
ሻሸመኔና	ሻሸመኔ+ና
ሻንቲታውን	ሻንቲታ+ውን
ሻንጣዎችን	ሻንጣ+ዎችን
ሻዕቢያና	ሻዕቢያ+ና
ሻዕቢያን	ሻዕቢያ+ን
ሻዕቢያንም	ሻዕቢያ+ን+ም
ሼርማንን	ሼርማን+ን
ሽለላ	ሽ+ለላ
ሽለላውን	ሽ+ለላውን
ወዲያው	ወዲያ+ው
ሽልማ	ሽ+ልማ
ሽልማቱ	ሽ+ልማቱ
ሽልማቱን	ሽ+ልማቱን
ሽልማቱንም	ሽ+ልማቱን+ም
ሽልማታቸውን	ሽ+ልማታቸውን
ሽልማት	ሽ+ልማት
ከግርማዊነታቸው	ከ+ግርማዊ+ነታቸው
ሽልማትም	ሽ+ልማት+ም
ሽልማትና	ሽ+ልማት+ና
ሽልማትን	ሽ+ልማትን
ሽልማቶች	ሽ+ልማቶች
ሽልማቶችን	ሽ+ልማቶችን
ሽማግሌ	ሽ+ማግሌ
ሽማግሌው	ሽ+ማግሌው
ሽማግሌዎች	ሽ+ማግሌዎች
ሽማግሌዎችም	ሽ+ማግሌዎች+ም
ሽማግሌዎችና	ሽ+ማግሌዎች+ና
ሽማግሌዎችሴቶችና	ሽማግሌዎችሴ+ቶች+ና
ሽምብራና	ሽምብራ+ና
ሽረት	ሽ+ረት
ሽረትና	ሽ+ረት+ና
ሽርተኝነት	ሽርተኝ+ነት
ሽርና	ሽር+ና
ሽርክና	ሽርክ+ና
ሽርፍራፊ	ሽርፍ+ራፊ
ሽሮታል	ሽ+ሮታል
ሽሽት	ሽ+ሽት
ሽበርተኝነትንና	ሽ+በርተኝነት+ንና
ሽባባውን	ሽባባው+ን
ሽብረተኝነትን	ሽ+ብረተኝነትን
ሽብረትኝነትን	ሽ+ብረትኝነትን
ሽብርተኛ	ሽ+ብርተኛ
ሽብርተኛነትን	ሽብርተ+ኛነትን
ሽብርተኝነት	ሽ+ብርተኝነት
ሽብርተኝነትና	ሽ+ብርተኝነት+ና
ሽብርተኝነትንና	ሽ+ብርተኝነት+ንና
ሽብርተኞቹ	ሽ+ብርተኞቹ
ሽብርተኞች	ሽ+ብርተኞች
ሽብርተኞችንና	ሽ+ብርተ+ኞችንና
ሽብርተኞችንን	ሽ+ብርተኞችንን
ሽብርና	ሽ+ብርና
ሽብርን	ሽ+ብርን
ሽብሻቦ	ሽ+ብሻቦ
ሽብዬና	ሽብዬ+ና
ሽቦውን	ሽቦ+ውን
ሽተዋል	ሽተ+ዋል
ሽተው	ሽ+ተው
ሽታውን	ሽታ+ውን
ሽቶችና	ሽ+ቶች+ና
ሽናግሌዎች	ሽናግሌ+ዎች
ሽንኩርትና	ሽንኩርት+ና
ሽንጣቸውን	ሽን+ጣቸውን
ሽንጥና	ሽንጥ+ና
ሽንፈቱ	ሽ+ንፈቱ
ሽንፈቱን	ሽ+ንፈቱን
ሽንፈታቸው	ሽ+ንፈታቸው
ሽንፈት	ሽ+ንፈት
ሽንፈትና	ሽ+ንፈት+ና
ሽንፈትን	ሽ+ንፈትን
ሽኝት	ሽ+ኝት
ሽኩቻና	ሽኩቻ+ና
ሽኩቻን	ሽኩቻ+ን
ሽኩቻው	ሽኩቻ+ው
ሽኩቻዎች	ሽኩቻ+ዎች
ሽያጩ	ሽ+ያጩ
ሽያጭና	ሽ+ያጭና
ሽያጭን	ሽ+ያጭን
ሽያጭንም	ሽ+ያጭን+ም
ሽጉጡ	ሽ+ጉጡ
ሽጉጡን	ሽ+ጉጡን
ሽጉጤ	ሽ+ጉጤ
ሽጉጤን	ሽ+ጉጤን
ሽግሽግና	ሽ+ግሽግና
ሽግግሩ	ሽ+ግግሩ
ሽግግሩን	ሽ+ግግሩን
ሽግግርም	ሽ+ግግርም
ሽግግርና	ሽ+ግግርና
ሽግግርን	ሽ+ግግርን
ሽግግሮሽ	ሽ+ግግሮሽ
ሽግግግርን	ሽ+ግግግርን
ሽጠው	ሽ+ጠው
ሽፋኑ	ሽ+ፋኑ
ሽፋኑን	ሽ+ፋኑን
ሽፋናቸውን	ሽ+ፋናቸውን
